Bedrooms,Bathrooms,Land area,CV,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,NZDep2018,NZDep2018_Score,population
3,1.0,475.0,810000,7004296,30,21,27,24,12,21,New Lynn,6.0,988.0,138
3,1.0,736.0,1170000,7002617,45,42,30,18,15,30,Glenfield,4.0,955.0,174
3,1.0,110.0,540000,7009880,54,18,18,18,9,6,Randwick Park,10.0,1162.0,123
4,1.0,99.0,485000,7009882,93,66,39,24,18,9,Randwick Park,10.0,1198.0,243
3,2.0,153.0,790000,7007125,72,24,30,33,33,51,Glen Eden,3.0,935.0,234
5,3.0,245.0,1240000,7006106,57,42,45,42,9,30,Remuera,2.0,906.0,228
4,1.0,2567.0,2725000,7006106,57,42,45,42,9,30,Ellerslie,2.0,906.0,228
3,1.0,1500.0,680000,7001269,54,9,18,30,30,33,Kaipara Flats,4.0,938.0,168
3,2.0,885.0,860000,7004112,33,30,15,33,27,21,Te Atatu South,7.0,1000.0,162
4,3.0,480.0,2275000,7005129,21,30,27,24,18,21,Grey Lynn,3.0,920.0,147
4,2.0,377.0,850000,7008343,51,57,42,27,30,39,Mount Wellington,7.0,1027.0,234
3,1.0,688.0,780000,7008343,51,57,42,27,30,39,Mount Wellington,7.0,1027.0,234
6,3.0,10557.0,1945000,7003463,42,24,15,30,27,33,Massey,5.0,958.0,180
2,1.0,405.0,1000000,7006236,42,15,48,39,12,24,Ellerslie,4.0,940.0,186
3,2.0,561.0,710000,7009955,87,24,33,39,21,27,Randwick Park,8.0,1031.0,231
4,2.0,255.0,810000,7010021,75,72,66,33,15,15,Takanini,3.0,927.0,276
5,3.0,519.0,540000,7001409,0,0,0,0,0,0,Orewa,7.0,1028.0,18
4,2.0,650.0,590000,7001409,0,0,0,0,0,0,Orewa,7.0,1028.0,18
4,2.0,602.0,1075000,7001409,0,0,0,0,0,0,Orewa,7.0,1028.0,18
5,3.0,650.0,1250000,7001409,0,0,0,0,0,0,Orewa,7.0,1028.0,18
5,3.0,519.0,1225000,7001409,0,0,0,0,0,0,Orewa,7.0,1028.0,18
5,3.0,522.0,540000,7001409,0,0,0,0,0,0,Orewa,7.0,1028.0,18
5,3.0,651.0,1260000,7001409,0,0,0,0,0,0,Orewa,7.0,1028.0,18
4,2.0,559.0,1050000,7001409,0,0,0,0,0,0,Orewa,7.0,1028.0,18
5,3.0,420.0,1200000,7009106,45,48,30,18,24,24,Flat Bush,2.0,913.0,192
3,2.0,472.0,720000,7001739,33,24,9,15,24,48,Helensville,7.0,1006.0,150
3,1.0,1067.0,580000,7008844,45,27,12,15,15,15,Otara,10.0,1357.0,132
3,1.0,726.0,570000,7008844,45,27,12,15,15,15,Otara,10.0,1357.0,132
3,2.0,251.0,1300000,7007786,21,15,18,12,18,18,Epsom,4.0,942.0,108
5,2.0,220.0,1225000,7002953,42,33,21,21,6,18,Hillcrest,5.0,976.0,141
5,3.0,420.0,1250000,7009239,39,21,30,18,9,12,Flat Bush,3.0,930.0,129
4,2.0,1467.0,970000,7001568,24,12,15,12,18,42,Red Beach,4.0,946.0,132
4,1.0,701.0,1000000,7007615,42,33,24,18,12,21,Mount Roskill,9.0,1098.0,150
4,2.0,826.0,980000,7009995,60,21,48,39,27,30,Karaka,1.0,871.0,219
4,2.0,743.0,990000,7009995,60,21,48,39,27,30,Karaka,1.0,871.0,219
3,1.0,272.0,680000,7010203,99,48,30,21,24,15,Papakura,10.0,1194.0,240
6,2.0,672.0,1030000,7009684,57,51,18,15,21,15,Manurewa,9.0,1117.0,183
3,2.0,772.0,920000,7007317,57,15,24,27,30,36,Titirangi,4.0,938.0,183
3,1.0,318.0,600000,7010504,45,42,18,33,27,33,Pukekohe,7.0,1028.0,201
4,2.0,895.0,920000,7002758,18,18,18,15,12,24,Glenfield,6.0,989.0,99
9,5.0,2028.0,1350000,7008648,39,27,21,15,21,21,Papatoetoe,9.0,1105.0,147
3,1.0,371.0,900000,7005199,57,33,36,30,18,15,Mount Eden,6.0,980.0,186
2,2.0,93.0,920000,7005473,0,12,0,0,0,0,Three Kings,7.0,1000.0,30
3,2.0,286.0,1340000,7005473,0,12,0,0,0,0,Three Kings,7.0,1000.0,30
3,1.0,429.0,850000,7004415,33,27,30,15,21,21,Avondale,6.0,984.0,153
3,1.0,623.0,630000,7003539,60,30,18,15,15,27,Ranui,10.0,1150.0,171
6,2.0,479.0,1325000,7002875,51,48,45,27,30,24,Windsor Park,4.0,952.0,222
3,2.0,113.0,1140000,7005463,30,72,24,18,21,15,Mount Eden,5.0,975.0,174
4,2.0,469.0,1745000,7003086,63,36,42,30,30,18,Milford,4.0,951.0,216
3,1.0,898.0,740000,7001158,18,6,9,12,27,48,Leigh,5.0,963.0,117
3,2.0,370.0,1120000,7005250,63,18,21,12,6,18,Mount Roskill,10.0,1213.0,129
3,2.0,120.0,580000,7008656,42,42,30,24,21,21,Papatoetoe,7.0,1004.0,186
3,1.0,422.0,670000,7007252,48,9,15,30,12,21,Glen Eden,6.0,989.0,144
4,3.0,868.0,800000,7004220,45,27,33,24,15,30,Glendene,8.0,1040.0,180
3,1.0,880.0,580000,7009970,33,51,24,15,12,24,Takanini,9.0,1113.0,150
4,2.0,690.0,1175000,7007983,66,33,48,36,27,33,Onehunga,5.0,956.0,237
4,3.0,238.0,800000,7010024,60,66,72,27,21,9,Takanini,3.0,921.0,249
4,2.0,569.0,1325000,7007906,21,21,15,18,27,27,Onehunga,8.0,1033.0,132
4,2.0,8000.0,1510000,7010270,39,27,18,27,45,69,Drury,1.0,893.0,219
4,3.0,8129.0,1620000,7010270,39,27,18,27,45,69,Drury,1.0,893.0,219
3,1.0,447.0,1360000,7005474,51,36,18,24,27,36,Three Kings,4.0,938.0,189
4,2.0,744.0,920000,7002670,36,15,30,21,21,3,Birkenhead,2.0,902.0,129
3,1.0,630.0,870000,7001611,72,27,18,30,33,30,Stanmore Bay,4.0,941.0,213
3,1.0,415.0,660000,7009392,45,45,30,21,18,24,Papatoetoe,8.0,1048.0,183
3,1.0,93.0,850000,7006441,36,27,42,21,6,15,Saint Johns,6.0,991.0,147
3,2.0,804.0,1050000,7002550,30,36,33,21,24,18,Birkdale,3.0,935.0,162
2,1.0,323.0,1625000,7004881,39,33,27,33,33,21,Ponsonby,5.0,962.0,186
3,2.0,810.0,1625000,7007923,39,18,36,18,24,51,Mangere Bridge,4.0,948.0,189
3,2.0,728.0,910000,7008462,15,30,21,12,9,15,Mount Wellington,8.0,1030.0,93
4,3.0,580.0,1175000,7010002,81,15,51,45,21,36,Karaka,1.0,853.0,249
2,2.0,140.0,790000,7006467,21,39,21,12,9,9,Panmure,8.0,1029.0,108
3,2.0,606.0,830000,7001213,51,15,27,27,21,30,Warkworth,4.0,950.0,174
6,4.0,325.0,1825000,7001628,24,15,9,9,21,24,Wade Heads,1.0,896.0,93
4,1.0,175.0,1775000,7006080,39,6,21,18,27,15,Remuera,2.0,902.0,123
4,2.0,663.0,880000,7009901,51,39,24,33,45,39,Conifer Grove,2.0,903.0,231
3,1.0,422.0,520000,7010237,99,33,27,33,18,24,Papakura,10.0,1380.0,237
3,1.0,582.0,470000,7010237,99,33,27,33,18,24,Red Hill,10.0,1380.0,237
4,2.0,292.0,800000,7009107,36,48,36,9,6,0,Flat Bush,4.0,953.0,141
3,2.0,144.0,420000,7009107,36,48,36,9,6,0,Flat Bush,4.0,953.0,141
3,2.0,310.0,1250000,7010364,27,6,18,9,15,24,Paerata,3.0,929.0,96
2,1.0,849.0,2275000,7006050,42,15,21,27,21,39,Orakei,4.0,937.0,168
5,3.0,1032.0,2625000,7006050,42,15,21,27,21,39,Orakei,4.0,937.0,168
3,1.0,446.0,560000,7003521,48,30,27,27,21,21,Massey,8.0,1046.0,177
4,1.0,951.0,680000,7010199,87,48,27,21,33,18,Papakura,9.0,1090.0,237
3,2.0,571.0,670000,7010199,87,48,27,21,33,18,Papakura,9.0,1090.0,237
5,3.0,877.0,1490000,7009906,36,21,12,30,27,42,Conifer Grove,2.0,900.0,168
4,2.0,809.0,830000,7002666,54,36,33,30,15,21,Birkenhead,3.0,926.0,195
7,2.0,333.0,1400000,7005141,24,42,21,12,12,15,Eden Terrace,3.0,937.0,132
3,1.0,1513.0,1005000,7007481,30,15,15,9,12,6,New Lynn,9.0,1092.0,90
3,2.0,528.0,850000,7003976,27,18,21,12,6,18,Te Atatu South,7.0,1021.0,102
3,1.0,636.0,1040000,7006581,57,27,18,15,18,12,Point England,10.0,1191.0,147
5,3.0,417.0,1225000,7009292,39,12,21,21,15,3,Flat Bush,5.0,957.0,111
3,2.0,170.0,630000,7009772,51,39,39,27,18,36,Manurewa,6.0,996.0,210
3,1.0,658.0,990000,7007592,45,45,24,30,18,39,Mount Roskill,6.0,988.0,201
4,2.0,1573.0,825000,7007342,48,9,15,33,18,21,Titirangi,1.0,865.0,135
9,4.0,1843.0,2200000,7006635,30,18,3,18,21,12,Glendowie,4.0,940.0,102
4,2.0,404.0,2050000,7006635,30,18,3,18,21,12,Glendowie,4.0,940.0,102
2,1.0,176.0,1500000,7005093,21,27,21,15,15,48,Freemans Bay,3.0,925.0,147
3,1.0,80.0,960000,7006461,27,12,27,24,18,15,Mount Wellington,6.0,978.0,123
4,2.0,683.0,970000,7006911,69,24,27,33,12,27,Howick,5.0,960.0,195
4,3.0,380.0,2525000,7001771,57,18,27,30,39,54,Dairy Flat,3.0,924.0,219
3,2.0,117.0,1220000,7006097,63,30,42,39,24,30,Remuera,1.0,884.0,219
5,3.0,555.0,1345000,7001859,48,42,30,21,21,30,Oteha,4.0,955.0,189
4,3.0,763.0,4700000,7004701,45,24,15,30,33,39,Herne Bay,1.0,896.0,189
4,2.0,230.0,1100000,7004547,60,24,36,36,24,66,Chatswood,2.0,902.0,249
2,1.0,104.0,1020000,7006346,27,42,24,21,18,27,Stonefields,2.0,898.0,162
3,1.0,600.0,630000,7008964,63,36,24,27,24,30,Clover Park,9.0,1130.0,195
3,2.0,166.0,830000,7007672,81,39,60,30,21,27,Mount Roskill,7.0,1024.0,258
4,2.0,519.0,470000,7010211,123,99,93,39,39,18,Papakura,5.0,963.0,414
5,3.0,528.0,470000,7010211,123,99,93,39,39,18,Papakura,5.0,963.0,414
5,3.0,603.0,480000,7010211,123,99,93,39,39,18,Papakura,5.0,963.0,414
3,1.0,439.0,780000,7009850,45,24,33,27,36,36,Manurewa,4.0,942.0,204
3,1.0,600.0,530000,7009515,78,33,39,24,30,24,Weymouth,10.0,1356.0,225
3,1.0,600.0,530000,7009515,78,33,39,24,30,24,Weymouth,10.0,1356.0,225
3,2.0,368.0,880000,7003789,45,30,15,27,24,36,West Harbour,4.0,940.0,174
3,1.0,1012.0,2112000,7010971,39,6,9,24,18,36,Buckland,3.0,932.0,129
4,4.0,2718.0,9000000,7005974,27,12,6,18,18,36,Remuera,1.0,877.0,114
4,4.0,2718.0,9000000,7005974,27,12,6,18,18,36,Remuera,1.0,877.0,114
4,2.0,191.0,1825000,7006399,48,24,21,30,27,36,St Heliers,3.0,929.0,186
2,2.0,173.0,590000,7008935,24,24,45,15,15,6,East Tamaki,6.0,976.0,132
3,1.0,1070.0,1875000,7006010,48,15,27,27,12,30,Remuera,3.0,932.0,153
3,2.0,586.0,830000,7003938,84,36,36,42,27,30,Massey,9.0,1082.0,255
4,2.0,723.0,1460000,7007837,27,9,9,21,15,30,Mangere Bridge,1.0,895.0,105
2,1.0,90.0,455000,7008426,54,45,33,18,24,18,Papatoetoe,8.0,1067.0,198
5,2.0,260.0,890000,7004156,60,27,24,30,18,18,Te Atatu South,5.0,973.0,186
6,3.0,210.0,1000000,7004156,60,27,24,30,18,18,Te Atatu South,5.0,973.0,186
3,2.0,138.0,1220000,7006422,45,12,24,33,30,48,St Heliers,2.0,902.0,189
1,1.0,59.0,325000,7001725,45,18,21,21,24,24,Parakai,10.0,1163.0,153
4,2.0,846.0,610000,7009434,108,42,39,36,27,33,Weymouth,8.0,1046.0,276
4,2.0,1047.0,1470000,7009263,33,27,15,30,21,42,Somerville,2.0,903.0,168
5,3.0,375.0,1400000,7006032,72,81,60,36,33,27,Ellerslie,8.0,1032.0,306
3,2.0,474.0,1250000,7006032,72,81,60,36,33,27,Penrose,8.0,1032.0,306
7,2.0,2931.0,1600000,7009435,72,42,24,36,33,39,Weymouth,9.0,1099.0,246
3,2.0,261.0,1240000,7006345,66,48,54,33,39,39,Stonefields,1.0,896.0,273
3,2.0,261.0,1240000,7006345,66,48,54,33,39,39,Stonefields,1.0,896.0,273
3,1.0,462.0,860000,7007731,48,48,33,24,33,36,Hillsborough,6.0,979.0,222
5,3.0,701.0,2450000,7005969,45,24,15,27,36,33,Remuera,1.0,888.0,174
3,2.0,400.0,880000,7009036,42,12,24,21,18,18,East Tamaki,5.0,972.0,135
4,2.0,550.0,780000,7002447,42,27,36,18,12,12,Beach Haven,3.0,934.0,147
5,2.0,650.0,950000,7009985,27,27,18,27,36,45,Takanini,2.0,910.0,174
4,1.0,140.0,775000,7003702,42,18,15,27,24,24,Henderson,8.0,1036.0,153
3,2.0,137.0,870000,7006419,54,27,21,39,27,45,St Heliers,3.0,929.0,216
4,1.0,160.0,830000,7004159,66,51,33,24,24,27,Te Atatu South,7.0,1001.0,228
4,2.0,922.0,860000,7004028,102,39,45,36,15,36,Sunnyvale,8.0,1061.0,279
3,2.0,114.0,725000,7004028,102,39,45,36,15,36,Sunnyvale,8.0,1061.0,279
5,3.0,686.0,1735000,7004203,39,27,24,15,27,15,Te Atatu Peninsula,1.0,891.0,147
3,1.0,1012.0,850000,7007167,63,36,42,36,27,30,Glen Eden,9.0,1119.0,231
5,3.0,470.0,1400000,7007066,60,9,18,48,21,30,Beachlands,1.0,863.0,180
5,3.0,490.0,1350000,7007066,60,9,18,48,21,30,Beachlands,1.0,863.0,180
5,2.0,569.0,980000,7001403,36,12,9,27,15,27,Wainui,4.0,950.0,129
4,2.0,550.0,1025000,7009928,201,99,168,114,81,120,Karaka,1.0,897.0,789
3,2.0,220.0,810000,7009928,201,99,168,114,81,120,Karaka,1.0,897.0,789
5,3.0,404.0,1250000,7009304,69,42,60,30,24,30,Flat Bush,1.0,894.0,255
3,1.0,154.0,820000,7009025,30,18,36,21,12,12,East Tamaki,5.0,965.0,123
3,1.0,952.0,670000,7003540,57,27,30,18,12,15,Ranui,9.0,1127.0,159
4,2.0,1074.0,3200000,7005559,33,27,24,9,39,54,Epsom,1.0,877.0,183
4,2.0,161.0,860000,7002301,51,36,57,18,6,12,Hobsonville,1.0,880.0,174
3,1.0,473.0,2275000,7004901,57,21,15,30,15,18,Herne Bay,4.0,938.0,153
4,2.0,170.0,920000,7002794,39,36,36,18,30,48,Glenfield,5.0,958.0,198
