Bedrooms,Bathrooms,Land area,CV,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,NZDep2018,NZDep2018_Score,population
3,2.0,402.0,710000,7007169,57,18,36,33,15,18,Glen Eden,7.0,1004.0,174
3,1.0,701.0,1425000,7004963,48,54,51,27,12,12,Morningside,5.0,969.0,201
3,2.0,256.0,3275000,7005843,12,12,6,9,15,33,Remuera,1.0,885.0,87
3,1.0,285.0,880000,7006221,36,27,27,24,9,33,Remuera,3.0,935.0,168
5,4.0,452.0,1175000,7001429,36,6,12,27,18,33,Orewa,1.0,856.0,141
2,1.0,605.0,640000,7003489,66,21,33,27,6,9,Swanson,10.0,1162.0,153
3,1.0,1343.0,1335000,7004336,66,42,33,27,21,21,Avondale,9.0,1132.0,216
5,3.0,766.0,965000,7010149,87,45,57,45,30,45,Rosehill,2.0,916.0,312
4,1.0,1437.0,920000,7002193,30,12,12,18,15,15,Huapai,1.0,888.0,108
4,2.0,702.0,1150000,7002170,84,30,54,36,42,42,Kumeu,1.0,857.0,291
4,2.0,451.0,1260000,7007264,75,18,18,51,33,24,Titirangi,1.0,889.0,228
2,2.0,123.0,18000000,7005755,3,9,15,6,15,21,Epsom,4.0,950.0,60
5,4.0,505.0,1600000,7006015,33,18,24,30,30,21,Ellerslie,7.0,1017.0,150
4,2.0,221.0,720000,7008064,123,51,48,27,24,21,Mangere,9.0,1117.0,300
4,2.0,191.0,530000,7002267,60,66,60,24,24,18,Hobsonville,2.0,911.0,252
2,1.0,80.0,580000,7008292,54,30,39,15,27,39,Mangere East,8.0,1043.0,201
3,2.0,1528.0,770000,7007165,27,3,18,30,15,12,Laingholm,2.0,909.0,108
1,1.0,54.0,560000,7005288,6,63,60,18,18,18,Auckland Central,4.0,945.0,183
4,1.0,2342.0,1360000,7007292,36,15,9,21,21,33,Titirangi,2.0,905.0,138
3,1.0,1884.0,720000,7003426,33,24,15,24,39,36,Swanson,4.0,943.0,156
4,2.0,847.0,2000000,7006898,45,27,24,24,42,45,Howick,2.0,918.0,210
5,3.0,1629.0,2300000,7006898,45,27,24,24,42,45,Howick,2.0,918.0,210
3,1.0,293.0,700000,7007635,66,45,39,30,24,27,Lynfield,5.0,962.0,222
6,4.0,409.0,1375000,7009087,117,81,90,60,27,39,Flat Bush,2.0,905.0,423
4,2.0,650.0,870000,7006591,21,9,15,3,24,12,Panmure,10.0,1182.0,87
4,2.0,815.0,1425000,7007031,57,12,6,45,30,33,Beachlands,1.0,850.0,177
4,3.0,275.0,1825000,7004858,12,24,36,15,27,45,Saint Marys Bay,2.0,911.0,159
3,1.0,1300.0,3600000,7004858,12,24,36,15,27,45,Saint Marys Bay,2.0,911.0,159
3,2.0,179.0,1575000,7004944,30,33,33,18,15,15,Grey Lynn,2.0,902.0,135
3,1.0,89.0,410000,7001718,36,21,30,24,21,36,Gulf Harbour,8.0,1049.0,165
4,2.0,644.0,1100000,7009287,108,39,72,69,30,33,Flat Bush,2.0,906.0,351
5,3.0,539.0,1225000,7009287,108,39,72,69,30,33,Flat Bush,2.0,906.0,351
3,1.0,451.0,640000,7003661,57,21,36,21,15,18,Massey,7.0,1004.0,168
3,2.0,1006.0,870000,7002430,48,21,24,30,18,21,Beach Haven,8.0,1055.0,168
3,2.0,809.0,1325000,7006944,27,9,12,12,12,45,Mellons Bay,3.0,931.0,117
3,1.0,80.0,500000,7008027,93,39,18,24,24,24,Mangere,10.0,1216.0,225
3,1.0,556.0,1950000,7004935,33,39,39,21,27,9,Grey Lynn,4.0,946.0,165
5,2.0,471.0,2075000,7004935,33,39,39,21,27,9,Grey Lynn,4.0,946.0,165
4,3.0,195.0,1450000,7005693,30,51,48,21,15,15,Parnell,5.0,956.0,180
4,2.0,1603.0,740000,7010283,57,30,24,27,21,39,Hunua,3.0,929.0,207
4,2.0,574.0,1000000,7009609,117,36,69,57,51,42,Wattle Downs,3.0,926.0,381
3,1.0,89.0,420000,7003952,45,30,21,21,18,21,Te Atatu South,7.0,1006.0,156
4,1.0,814.0,840000,7003952,45,30,21,21,18,21,Te Atatu South,7.0,1006.0,156
3,1.0,90.0,600000,7003952,45,30,21,21,18,21,Te Atatu South,7.0,1006.0,156
3,1.0,80.0,450000,7009446,75,54,24,27,15,30,Manurewa,9.0,1114.0,228
5,3.0,581.0,1100000,7001488,24,12,9,12,15,36,Orewa,7.0,1011.0,111
2,1.0,79.0,820000,7006220,33,24,27,30,6,18,Remuera,4.0,953.0,132
3,1.0,360.0,660000,7008085,57,24,27,18,21,27,Favona,10.0,1168.0,177
5,2.0,650.0,1325000,7009011,39,27,30,21,27,27,Golflands,2.0,909.0,171
4,2.0,675.0,1150000,7006910,48,33,30,21,24,21,Howick,6.0,999.0,177
4,3.0,150.0,990000,7002962,27,15,36,18,15,30,Northcote,2.0,905.0,147
5,3.0,315.0,1100000,7002238,66,162,63,24,12,21,Whenuapai,3.0,924.0,351
2,2.0,103.0,750000,7005364,15,57,72,18,6,6,Eden Terrace,4.0,940.0,174
4,3.0,450.0,1280000,7006891,39,12,18,21,33,30,Bucklands Beach,3.0,927.0,150
3,2.0,140.0,900000,7002059,36,33,33,30,30,51,Torbay,3.0,935.0,207
4,2.0,974.0,1380000,7006767,33,12,9,21,30,30,Bucklands Beach,6.0,983.0,138
3,2.0,178.0,1195000,7008816,75,39,51,30,27,33,Pakuranga Heights,6.0,986.0,258
3,2.0,1077.0,1025000,7004332,33,30,24,27,12,18,Avondale,7.0,1012.0,147
4,1.0,550.0,850000,7004332,33,30,24,27,12,18,Avondale,7.0,1012.0,147
4,3.0,417.0,1260000,7006919,30,15,12,15,18,57,Howick,6.0,996.0,147
3,1.0,80.0,500000,7009658,78,90,48,24,24,30,Manurewa,9.0,1100.0,291
5,4.0,1047.0,3000000,7001722,27,18,27,12,9,33,Gulf Harbour,1.0,886.0,129
4,2.0,576.0,1900000,7006174,39,15,27,33,18,42,Mission Bay,2.0,918.0,171
3,1.0,335.0,540000,7003825,57,24,24,30,15,12,Massey,10.0,1143.0,165
3,1.0,80.0,480000,7008409,63,39,39,21,15,12,Papatoetoe,9.0,1087.0,189
3,1.0,70.0,490000,7008227,60,30,27,21,12,27,Mangere,10.0,1191.0,177
4,1.0,129.0,1775000,7004514,33,21,15,27,15,21,Mount Albert,3.0,937.0,126
3,1.0,80.0,500000,7008037,96,27,39,33,27,24,Mangere,9.0,1130.0,249
3,1.0,495.0,690000,7007316,24,6,24,15,6,15,Titirangi,5.0,968.0,105
4,2.0,848.0,890000,7009845,45,39,24,21,36,27,Manurewa,4.0,943.0,195
2,1.0,90.0,630000,7004846,24,18,15,15,30,30,Birkenhead,2.0,907.0,135
3,1.0,86.0,490000,7005469,9,21,15,18,3,42,Three Kings,7.0,1000.0,111
4,4.0,697.0,1425000,7005232,24,33,27,15,12,9,Mount Roskill,7.0,999.0,117
5,5.0,415.0,2300000,7002080,48,39,24,30,33,27,Rothesay Bay,2.0,913.0,198
3,1.0,73.0,650000,7004527,45,30,30,21,21,24,New Windsor,7.0,1015.0,168
3,1.0,90.0,495000,7009543,66,45,27,12,27,30,Manurewa,10.0,1193.0,198
5,4.0,740.0,2625000,7006333,45,24,6,33,27,39,Saint Johns,1.0,889.0,171
5,2.0,809.0,1100000,7008515,78,63,60,27,30,48,Papatoetoe,7.0,1020.0,306
5,3.0,1310.0,3900000,7005561,90,33,12,15,27,45,Epsom,2.0,918.0,219
4,3.0,303.0,1160000,7004216,39,12,24,24,12,24,Te Atatu Peninsula,7.0,1029.0,138
3,1.0,675.0,980000,7004216,39,12,24,24,12,24,Te Atatu Peninsula,7.0,1029.0,138
4,2.0,502.0,1150000,7002280,60,36,18,36,42,36,West Harbour,1.0,886.0,213
3,1.0,80.0,580000,7008448,57,45,33,21,18,21,Mount Wellington,10.0,1175.0,195
3,1.0,353.0,1450000,7008765,33,39,21,12,21,3,Papatoetoe,10.0,1166.0,135
5,3.0,325.0,660000,7009314,21,18,9,15,6,6,Flat Bush,7.0,1010.0,78
7,5.0,398.0,700000,7009314,21,18,9,15,6,6,Flat Bush,7.0,1010.0,78
7,5.0,428.0,1475000,7009314,21,18,9,15,6,6,Flat Bush,7.0,1010.0,78
5,4.0,325.0,660000,7009314,21,18,9,15,6,6,Flat Bush,7.0,1010.0,78
5,4.0,325.0,660000,7009314,21,18,9,15,6,6,Flat Bush,7.0,1010.0,78
4,2.0,180.0,1625000,7005832,57,27,15,18,30,27,Remuera,4.0,937.0,180
5,3.0,632.0,4650000,7005079,30,15,24,36,39,51,Saint Marys Bay,2.0,902.0,198
3,1.0,383.0,750000,7003775,69,21,42,18,9,6,West Harbour,8.0,1047.0,162
3,2.0,391.0,2125000,7005719,24,24,18,18,24,12,Remuera,1.0,885.0,123
3,2.0,314.0,280000,7010468,87,60,81,45,39,42,Pukekohe,5.0,957.0,345
4,2.0,556.0,740000,7001328,57,15,27,33,30,105,Snells Beach,5.0,961.0,261
3,2.0,810.0,810000,7001328,57,15,27,33,30,105,Snells Beach,5.0,961.0,261
6,3.0,852.0,1325000,7001700,45,15,24,33,39,54,Army Bay,1.0,894.0,210
3,1.0,141.0,1300000,7006154,27,24,24,15,18,24,Orakei,5.0,961.0,135
4,1.0,808.0,840000,7009903,33,15,12,15,21,33,Conifer Grove,3.0,931.0,132
5,3.0,1148.0,4000000,7006673,45,15,9,27,21,45,Glendowie,2.0,898.0,165
3,2.0,985.0,1425000,7010984,30,12,15,18,15,27,Tuakau,5.0,956.0,117
4,2.0,433.0,670000,7010984,30,12,15,18,15,27,Tuakau,5.0,956.0,117
4,3.0,628.0,1650000,7006127,39,27,27,30,15,12,Ellerslie,5.0,964.0,147
4,2.0,809.0,1425000,7006939,39,15,15,18,33,45,Mellons Bay,3.0,924.0,159
3,1.0,392.0,530000,7010357,45,27,33,15,24,39,Pukekohe,9.0,1097.0,180
5,4.0,1272.0,4300000,7005821,39,18,12,18,30,30,Remuera,4.0,938.0,150
4,3.0,408.0,920000,7003619,84,51,69,60,36,39,Massey,2.0,914.0,333
2,2.0,80.0,700000,7005291,57,270,138,30,15,18,Auckland Central,8.0,1036.0,522
2,2.0,80.0,430000,7005291,57,270,138,30,15,18,Auckland Central,8.0,1036.0,522
4,1.0,969.0,670000,7008126,42,27,12,12,12,9,Mangere,10.0,1209.0,114
4,2.0,101.0,900000,7004358,33,60,45,24,27,36,New Lynn,8.0,1046.0,225
4,2.0,122.0,920000,7004358,33,60,45,24,27,36,New Lynn,8.0,1046.0,225
4,2.0,176.0,940000,7004358,33,60,45,24,27,36,New Lynn,8.0,1046.0,225
4,2.0,101.0,900000,7004358,33,60,45,24,27,36,New Lynn,8.0,1046.0,225
4,2.0,405.0,500000,7008092,72,27,15,24,18,6,Favona,9.0,1088.0,162
3,2.0,108.0,1000000,7008640,63,72,42,30,21,48,Papatoetoe,7.0,1010.0,279
7,2.0,2410.0,600000,7010037,54,42,33,21,15,24,Takanini,9.0,1132.0,192
3,2.0,89.0,2075000,7006043,36,24,27,18,27,39,Orakei,10.0,1143.0,171
3,2.0,89.0,2075000,7006043,36,24,27,18,27,39,Orakei,10.0,1143.0,171
4,2.0,943.0,1790000,7006986,54,18,15,33,24,39,Mellons Bay,2.0,915.0,186
3,1.0,685.0,1260000,7006096,48,24,24,39,27,27,Remuera,4.0,943.0,195
4,2.0,214.0,1360000,7006096,48,24,24,39,27,27,Remuera,4.0,943.0,195
3,1.0,1445.0,640000,7010436,54,15,21,24,24,36,Waiuku,7.0,1021.0,171
6,3.0,622.0,1150000,7008990,60,45,42,33,24,18,Flat Bush,7.0,1011.0,213
5,4.0,1998.0,7000000,7006417,51,27,9,21,42,51,St Heliers,1.0,851.0,192
5,4.0,818.0,3600000,7006417,51,27,9,21,42,51,St Heliers,1.0,851.0,192
4,3.0,399.0,1175000,7007739,66,57,63,24,33,54,Mount Roskill,8.0,1032.0,297
8,4.0,990.0,1250000,7007739,66,57,63,24,33,54,Mount Roskill,8.0,1032.0,297
5,3.0,842.0,1125000,7007739,66,57,63,24,33,54,Mount Roskill,8.0,1032.0,297
3,1.0,875.0,835000,7003862,54,30,27,27,15,21,Henderson,9.0,1074.0,183
3,1.0,406.0,1450000,7005203,36,27,21,27,12,24,Mount Eden,4.0,942.0,150
3,2.0,187.0,2750000,7005662,42,24,27,27,21,57,Parnell,1.0,886.0,195
3,2.0,402.0,1050000,7006905,21,18,3,15,15,24,Howick,3.0,936.0,96
2,1.0,71.0,560000,7008768,33,21,21,18,12,21,Papatoetoe,8.0,1065.0,126
4,1.0,690.0,650000,7008118,69,15,27,30,15,12,Mangere East,10.0,1139.0,168
3,1.0,825.0,765000,7009405,30,30,12,12,3,6,Papatoetoe,8.0,1060.0,105
4,1.0,818.0,550000,7009580,84,39,33,27,21,24,Manurewa,10.0,1217.0,222
3,1.0,90.0,490000,7010014,75,36,24,30,24,24,Takanini,10.0,1162.0,225
3,1.0,842.0,830000,7004279,54,24,24,27,33,24,Kelston,6.0,977.0,183
4,2.0,761.0,1575000,7001676,30,6,15,12,18,30,Tindalls Beach,4.0,942.0,111
2,1.0,755.0,960000,7001676,30,6,15,12,18,30,Tindalls Beach,4.0,942.0,111
3,1.0,602.0,1550000,7004943,21,54,33,21,15,24,Grey Lynn,7.0,1010.0,174
3,1.0,658.0,695000,7002434,48,15,12,18,15,9,Beach Haven,8.0,1051.0,117
5,2.0,880.0,1875000,7006191,21,9,12,15,18,27,Meadowbank,1.0,874.0,102
4,3.0,1750.0,6500000,7006420,42,21,12,21,39,39,St Heliers,1.0,873.0,174
4,3.0,1531.0,3550000,7006420,42,21,12,21,39,39,St Heliers,1.0,873.0,174
3,1.0,675.0,540000,7009670,72,36,24,18,15,18,Manurewa,10.0,1216.0,177
2,1.0,921.0,920000,7003374,30,15,9,24,15,30,Ostend,7.0,1008.0,123
4,4.0,567.0,1750000,7009990,33,12,15,21,18,30,Karaka,1.0,885.0,129
4,2.0,607.0,1300000,7006114,42,12,36,24,12,33,Ellerslie,3.0,935.0,153
4,1.0,1014.0,2550000,7006814,54,9,18,30,36,51,Half Moon Bay,4.0,946.0,201
4,3.0,734.0,1350000,7006723,51,21,18,30,21,21,Half Moon Bay,5.0,965.0,162
5,4.0,336.0,545000,7002304,33,30,24,15,12,18,Hobsonville,4.0,944.0,135
5,3.0,244.0,2325000,7009582,90,33,24,21,21,3,Manurewa,10.0,1141.0,192
4,2.0,594.0,1100000,7009039,33,18,15,27,12,21,East Tamaki,4.0,956.0,126
4,2.0,784.0,1825000,7004975,27,66,72,30,12,18,Sandringham,3.0,934.0,228
5,3.0,202.0,1450000,7009388,63,39,36,9,15,6,Papatoetoe,10.0,1174.0,168
4,2.0,469.0,1725000,7005966,45,30,15,24,21,27,Remuera,2.0,909.0,168
3,1.0,690.0,1150000,7006699,45,12,15,33,12,15,Sunnyhills,3.0,921.0,135
3,2.0,238.0,2450000,7006413,36,18,9,21,27,66,St Heliers,3.0,935.0,174
3,2.0,1191.0,2100000,7009923,30,18,18,21,27,30,Karaka,1.0,895.0,147
4,3.0,572.0,1550000,7009923,30,18,18,21,27,30,Karaka,1.0,895.0,147
2,1.0,5210.0,730000,7001365,39,24,18,24,27,30,Helensville,4.0,942.0,162
4,2.0,450.0,1125000,7002271,12,12,9,6,9,75,Hobsonville,7.0,1010.0,129
4,2.0,130.0,650000,7009644,78,42,39,24,24,21,Manurewa,8.0,1037.0,228
3,1.0,81.0,830000,7002686,36,36,33,27,27,30,Pinehill,5.0,968.0,183
2,1.0,84.0,1060000,7005958,15,27,12,6,30,27,Orakei,3.0,923.0,120
4,2.0,417.0,1325000,7009157,15,9,15,3,15,483,Dannemora,6.0,992.0,534
3,1.0,361.0,600000,7009911,51,36,24,18,6,18,Takanini,7.0,1023.0,150
4,2.0,5175.0,2300000,7003376,39,21,15,30,24,60,Ostend,1.0,893.0,189
5,2.0,174.0,1090000,7004673,36,36,27,12,15,27,New Windsor,8.0,1053.0,147
6,4.0,465.0,2075000,7010456,42,15,18,27,21,33,Mauku,5.0,962.0,150
3,1.0,110.0,530000,7009794,54,33,27,27,12,12,Manurewa,10.0,1228.0,162
5,3.0,589.0,1130000,7009942,48,36,27,21,27,24,The Gardens,3.0,927.0,183
4,2.0,451.0,835000,7007315,42,21,21,24,21,21,Titirangi,6.0,980.0,150
6,3.0,1265.0,1690000,7009717,42,21,18,15,12,42,Wattle Downs,5.0,956.0,150
3,1.0,100.0,612000,7004150,48,24,39,21,24,33,Te Atatu South,9.0,1079.0,189
5,3.0,1405.0,1100000,7002619,54,54,42,21,27,30,Glenfield,3.0,937.0,231
2,1.0,70.0,510000,7008326,36,42,36,30,12,15,Mount Wellington,3.0,925.0,180
5,3.0,536.0,980000,7008619,45,24,30,15,18,6,Papatoetoe,8.0,1056.0,141
5,2.0,819.0,3075000,7005989,30,9,6,24,24,18,Remuera,1.0,856.0,114
4,2.0,612.0,1000000,7001514,48,3,12,33,15,24,Red Beach,1.0,850.0,132
5,4.0,354.0,1275000,7009309,108,63,93,63,30,51,Flat Bush,1.0,889.0,408
2,1.0,85.0,740000,7006171,18,18,9,15,18,36,Mission Bay,3.0,929.0,111
4,4.0,827.0,5300000,7006171,18,18,9,15,18,36,Mission Bay,3.0,929.0,111
5,3.0,479.0,2550000,7006159,54,18,15,15,21,27,Orakei,9.0,1124.0,156
4,3.0,277.0,1725000,7006118,48,33,48,30,18,27,Ellerslie,3.0,932.0,204
4,3.0,543.0,3500000,7006474,66,18,30,33,39,45,St Heliers,1.0,893.0,228
3,2.0,449.0,3100000,7006474,66,18,30,33,39,45,St Heliers,1.0,893.0,228
1,1.0,70.0,445000,7009597,120,42,42,27,27,33,Weymouth,10.0,1176.0,291
2,2.0,809.0,750000,7007109,84,21,45,54,51,60,Huia,4.0,940.0,321
3,2.0,130.0,1575000,7005883,57,30,30,30,33,21,Greenlane,4.0,944.0,207
4,2.0,1055.0,1500000,7007629,51,33,27,27,21,39,Mount Roskill,5.0,973.0,201
4,2.0,11759.0,1700000,7001807,18,9,9,9,21,15,Albany Heights,2.0,907.0,84
2,2.0,1051.0,1275000,7007771,24,33,24,15,21,15,Hillsborough,4.0,948.0,132
4,1.0,566.0,660000,7008296,78,39,33,27,30,21,Mangere East,8.0,1067.0,228
3,1.0,919.0,640000,7007517,48,42,33,27,36,39,Blockhouse Bay,4.0,951.0,213
4,3.0,150.0,999000,7004665,27,27,21,18,24,12,New Windsor,7.0,1018.0,141
4,2.0,150.0,999000,7004665,27,27,21,18,24,12,New Windsor,7.0,1018.0,141
3,1.0,5638.0,580000,7001130,39,9,18,24,24,42,Great Barrier Island (Aotea Island),9.0,1093.0,153
3,2.0,373.0,820000,7008620,45,30,27,21,18,15,Papatoetoe,9.0,1097.0,165
4,4.0,603.0,3700000,7005467,36,15,6,21,18,30,Epsom,1.0,883.0,135
5,2.0,1203.0,660000,7005467,36,15,6,21,18,30,Mount Eden,1.0,883.0,135
3,3.0,541.0,1600000,7005467,36,15,6,21,18,30,Epsom,1.0,883.0,135
4,2.0,718.0,850000,7010134,54,18,24,33,30,51,Opaheke,6.0,985.0,210
6,4.0,1284.0,4400000,7005859,30,30,3,15,15,18,Remuera,6.0,998.0,108
2,2.0,1232.0,1850000,7003344,21,9,12,21,18,48,Oneroa,4.0,951.0,126
4,3.0,928.0,3550000,7005837,66,12,3,33,45,36,Remuera,1.0,877.0,198
3,1.0,90.0,540000,7010192,81,48,45,27,30,27,Papakura,9.0,1091.0,261
4,2.0,872.0,900000,7009748,45,36,24,24,39,42,Totara Heights,3.0,934.0,207
4,2.0,782.0,1550000,7006690,42,12,12,27,27,27,Sunnyhills,2.0,909.0,159
4,3.0,309.0,920000,7009834,21,0,6,21,12,15,Karaka,5.0,965.0,75
5,3.0,480.0,1500000,7002020,57,24,36,30,30,24,Long Bay,2.0,902.0,198
5,3.0,465.0,1450000,7002020,57,24,36,30,30,24,Long Bay,2.0,902.0,198
5,4.0,488.0,610000,7006054,24,15,18,18,18,33,Orakei,6.0,979.0,126
1,1.0,4737.0,710000,7003365,27,9,18,18,24,48,Palm Beach,6.0,989.0,144
3,1.0,1464.0,1175000,7008659,51,39,30,21,21,30,Papatoetoe,8.0,1063.0,195
4,2.0,1019.0,1000000,7009843,45,27,21,21,42,42,The Gardens,3.0,921.0,189
4,2.0,771.0,1030000,7009843,45,27,21,21,42,42,The Gardens,3.0,921.0,189
3,2.0,874.0,840000,7008422,39,30,30,9,9,9,Papatoetoe,9.0,1116.0,120
4,2.0,1061.0,1025000,7001688,45,12,15,27,30,51,Gulf Harbour,2.0,899.0,171
3,2.0,985.0,1125000,7001939,51,36,24,42,30,18,Torbay,3.0,931.0,201
5,3.0,20226.0,2975000,7010010,51,24,21,18,27,30,Takanini,9.0,1084.0,174
3,1.0,1292.0,5200000,7004702,45,9,12,33,30,24,Herne Bay,2.0,912.0,159
4,2.0,2861.0,1250000,7004025,42,33,27,21,15,15,Sunnyvale,7.0,1011.0,147
2,1.0,104.0,800000,7006208,12,12,9,9,12,90,Saint Johns,1.0,887.0,150
3,2.0,619.0,860000,7009712,27,6,15,15,9,30,Wattle Downs,2.0,901.0,99
3,1.0,70.0,475000,7008371,57,36,39,27,30,39,Otahuhu,10.0,1241.0,225
3,2.0,905.0,1175000,7007832,42,21,33,27,21,36,Mangere Bridge,4.0,944.0,189
3,2.0,238.0,3375000,7005964,27,15,3,12,24,30,Remuera,5.0,970.0,105
5,4.0,274.0,1050000,7009698,102,24,27,21,9,15,Wattle Downs,10.0,1286.0,201
3,2.0,714.0,640000,7009799,36,36,24,18,9,21,Manurewa,9.0,1137.0,138
3,2.0,714.0,640000,7009799,36,36,24,18,9,21,Manurewa,9.0,1137.0,138
3,1.0,675.0,580000,7009799,36,36,24,18,9,21,Manurewa,9.0,1137.0,138
3,1.0,607.0,1060000,7006443,51,30,45,30,21,27,Saint Johns,7.0,1026.0,189
6,3.0,515.0,810000,7010041,84,45,21,21,21,33,Takanini,10.0,1256.0,231
5,3.0,208.0,350000,7009479,69,30,24,15,18,9,Manurewa,10.0,1240.0,156
4,2.0,382.0,2450000,7006179,36,15,12,15,30,27,Mission Bay,1.0,883.0,132
3,1.0,100.0,640000,7007193,60,24,33,30,21,12,Glen Eden,9.0,1115.0,177
3,1.0,245.0,690000,7010987,75,30,21,18,9,9,Tuakau,10.0,1243.0,162
3,1.0,80.0,510000,7009645,54,33,24,15,21,21,Manurewa,8.0,1030.0,162
5,3.0,575.0,2575000,7006083,39,18,27,21,21,33,Remuera,1.0,870.0,162
5,3.0,698.0,2100000,7006083,39,18,27,21,21,33,Remuera,1.0,870.0,162
4,3.0,555.0,800000,7010523,63,27,36,21,18,12,Pukekohe,5.0,960.0,183
3,1.0,600.0,680000,7001747,69,24,30,30,21,60,Helensville,6.0,982.0,240
3,1.0,139.0,600000,7008472,57,24,21,15,27,30,Otahuhu,10.0,1189.0,177
5,3.0,750.0,3430000,7006879,48,30,9,27,39,24,Eastern Beach,4.0,938.0,171
5,2.0,490.0,2325000,7004924,57,24,36,33,18,24,Grey Lynn,5.0,957.0,201
4,2.0,6024.0,1575000,7009943,24,15,21,9,24,21,Totara Park,2.0,901.0,117
5,3.0,825.0,2475000,7006948,39,18,15,12,36,39,Howick,3.0,936.0,159
3,1.0,451.0,760000,7004283,39,36,30,24,24,33,New Lynn,8.0,1047.0,183
4,2.0,845.0,670000,7009527,60,21,30,9,18,27,Weymouth,10.0,1164.0,162
4,3.0,1199.0,3275000,7005726,36,18,6,15,24,30,Remuera,1.0,887.0,132
4,2.0,181.0,2100000,7006500,42,12,12,24,24,15,Glendowie,2.0,910.0,129
4,3.0,162.0,1600000,7005433,54,54,21,30,27,39,Epsom,3.0,929.0,231
4,3.0,773.0,400000,7001687,39,21,15,27,27,39,Gulf Harbour,3.0,934.0,162
5,3.0,8573.0,1725000,7001813,51,27,12,30,45,30,Redvale,2.0,899.0,201
4,2.0,4000.0,2275000,7001813,51,27,12,30,45,30,Redvale,2.0,899.0,201
3,2.0,954.0,1075000,7001392,42,33,24,27,27,30,Waitoki,1.0,893.0,183
5,3.0,345.0,480000,7010094,12,9,3,6,3,3,Takanini,6.0,993.0,39
4,3.0,385.0,790000,7010094,12,9,3,6,3,3,Takanini,6.0,993.0,39
2,1.0,754.0,1300000,7005243,57,33,39,24,15,18,Mount Roskill,10.0,1156.0,186
2,2.0,598.0,2100000,7005665,27,24,9,12,21,36,Parnell,5.0,973.0,135
4,2.0,792.0,780000,7010292,42,9,21,18,21,51,Clarks Beach,5.0,960.0,159
2,2.0,959.0,1700000,7003348,21,3,9,18,18,45,Surfdale,1.0,897.0,117
3,1.0,756.0,1845000,7007834,24,6,6,12,18,39,Mangere Bridge,4.0,939.0,102
5,3.0,750.0,1250000,7007052,126,51,66,72,42,48,Beachlands,1.0,892.0,402
1,1.0,809.0,740000,7003359,36,27,15,24,33,45,Surfdale,8.0,1047.0,183
2,1.0,1421.0,860000,7003357,33,18,27,15,30,39,Surfdale,4.0,952.0,165
3,2.0,22240.0,1075000,7001262,45,12,15,27,27,39,Helensville,3.0,926.0,165
4,2.0,809.0,680000,7009888,57,30,18,18,18,15,Manurewa East,10.0,1219.0,156
5,3.0,3953.0,920000,7001131,27,6,6,18,39,60,Great Barrier Island (Aotea Island),9.0,1122.0,156
3,2.0,291.0,700000,7003568,84,51,45,36,30,36,Ranui,7.0,1008.0,279
4,1.0,343.0,630000,7008270,75,51,39,24,30,27,Mangere East,9.0,1092.0,246
5,6.0,2268.0,6600000,7006423,39,18,15,21,39,30,St Heliers,1.0,889.0,165
4,3.0,400.0,450000,7002649,60,30,33,36,15,27,Glenfield,4.0,945.0,210
3,2.0,200.0,570000,7009554,66,33,33,24,21,21,Manurewa,10.0,1217.0,198
3,1.0,739.0,540000,7008860,69,45,30,24,15,30,Otara,9.0,1128.0,219
2,1.0,61.0,480000,7009439,39,30,30,18,24,15,Papatoetoe,8.0,1034.0,159
4,3.0,601.0,1850000,7006309,63,24,27,42,39,42,St Heliers,2.0,916.0,240
3,2.0,171.0,2250000,7006272,18,12,9,9,21,51,Mission Bay,1.0,893.0,117
5,3.0,283.0,2600000,7006272,18,12,9,9,21,51,Mission Bay,1.0,893.0,117
5,3.0,323.0,2100000,7001769,39,21,18,30,24,30,Dairy Flat,3.0,933.0,162
4,3.0,240.0,1975000,7003389,30,9,18,27,39,42,Waiheke Island,4.0,950.0,168
4,5.0,641.0,6400000,7003389,30,9,18,27,39,42,Waiheke Island,4.0,950.0,168
2,1.0,922.0,960000,7003340,39,18,33,30,48,63,Oneroa,6.0,994.0,234
3,1.0,792.0,1105000,7007657,63,42,30,21,24,24,Mount Roskill,10.0,1182.0,207
5,2.0,679.0,690000,7010407,36,15,21,21,21,36,Waiuku,5.0,969.0,150
2,1.0,67.0,530000,7009438,36,27,24,15,21,12,Papatoetoe,8.0,1044.0,135
4,1.0,1222.0,610000,7010200,81,30,12,18,18,9,Papakura,10.0,1379.0,171
6,3.0,708.0,1625000,7001930,78,48,54,39,36,45,Long Bay,3.0,925.0,297
4,2.0,313.0,1325000,7008271,87,39,54,33,30,30,Mangere East,9.0,1119.0,273
7,3.0,1276.0,2100000,7001431,42,30,9,24,30,42,Orewa,2.0,906.0,177
6,4.0,607.0,6200000,7001299,27,15,15,21,27,33,Pohuehue,5.0,963.0,135
2,2.0,598.0,2025000,7005692,18,21,24,15,15,27,Parnell,4.0,938.0,126
6,4.0,384.0,5700000,7001866,15,6,12,3,15,6,Okura,2.0,911.0,60
3,1.0,570.0,1950000,7006765,42,15,27,21,15,27,Pakuranga Heights,3.0,932.0,147
5,3.0,252.0,930000,7008548,30,60,24,12,12,18,Papatoetoe,6.0,997.0,156
